id,worker_type,spouse_type,birth_yr,claim_age,year_at_65,awi_at_65,real_career_avg_earn,ben_at_65_pb,real_ben_at_65_pb,rep_rate_awi_pb,rep_rate_career_pb
R-very_low-2000-44-65,very_low,medium,2000,65,2065,304175.68,23436.372443062377,35859.643667232,16251.693259566353,0.11789122544981899,0.6934389397953594
R-very_low-2005-44-65,very_low,medium,2005,65,2070,362245.73,25273.547612499868,41922.139316495995,17166.07630375608,0.1157284568033307,0.6792111881936997
R-very_low-2010-44-65,very_low,medium,2010,65,2075,431340.48,27217.177131751643,49124.3603136,18174.374157172246,0.11388766552492362,0.6677538257988542
R-very_low-1930-44-65,very_low,high,1930,65,1995,24705.66,9132.061576136579,4752,9279.124903436237,0.19234458824415135,1.0161040665433045
R-very_low-1935-44-65,very_low,high,1935,65,2000,32154.82,9667.23934801242,5472,9835.355976301282,0.17017666402735265,1.01739034508579
R-very_low-1940-44-65,very_low,high,1940,65,2005,36952.94,10297.447874555955,6888,11039.43967045448,0.18639924184652154,1.0720558923859103
R-very_low-1945-44-65,very_low,high,1945,65,2010,41673.83,10939.898804542418,7788,11357.236371064071,0.18687987161247238,1.0381482108726974
R-very_low-1950-44-65,very_low,high,1950,65,2015,48098.63,11570.508311254445,8508,11427.547647627072,0.17688653502189147,0.9876443921233505
R-very_low-1955-44-65,very_low,high,1955,65,2020,55628.6,12271.277236489217,9840,12205.598419633605,0.1768874284091277,0.9946477603276443
R-very_low-1960-44-65,very_low,high,1960,65,2025,72255.52,13075.299064912882,11604,11844.2028,0.16059672672759118,0.9058456514989789
R-very_low-1965-44-65,very_low,high,1965,65,2030,88030.45,13972.510588664107,14028,12934.323565083403,0.15935395082042636,0.9256978896532034
R-very_low-1970-44-65,very_low,high,1970,65,2035,106494.41,14981.292788937253,13622.9368554,11348.8972031041,0.1279216144340346,0.7575379083095252
R-very_low-1975-44-65,very_low,high,1975,65,2040,127479.7,16103.623714432959,16141.429661952,12149.541008671338,0.12661960815684378,0.7544600658907751
R-very_low-1980-44-65,very_low,high,1980,65,2045,152129.95,17298.903795936818,19159.756896564,13029.952197444109,0.1259433589281006,0.7532241551921108
R-very_low-1985-44-65,very_low,high,1985,65,2050,180927.92,18625.98122905315,22613.05146,13894.62895244844,0.12498375850449171,0.7459810455932029
R-very_low-1990-44-65,very_low,high,1990,65,2055,214968.38,20102.690479206893,26440.145894015997,14678.665865382629,0.12299551168416488,0.7301841452797289
R-very_low-1995-44-65,very_low,high,1995,65,2060,255531.48,21713.72399231629,30706.008858,15402.13987327281,0.12016526831840836,0.7093274225426774
R-very_low-2000-44-65,very_low,high,2000,65,2065,304175.68,23436.372443062377,35859.643667232,16251.693259566353,0.11789122544981899,0.6934389397953594
R-very_low-2005-44-65,very_low,high,2005,65,2070,362245.73,25273.547612499868,41922.139316495995,17166.07630375608,0.1157284568033307,0.6792111881936997
R-very_low-2010-44-65,very_low,high,2010,65,2075,431340.48,27217.177131751643,49124.3603136,18174.374157172246,0.11388766552492362,0.6677538257988542
R-very_low-1930-44-65,very_low,max,1930,65,1995,24705.66,9132.061576136579,4752,9279.124903436237,0.19234458824415135,1.0161040665433045
R-very_low-1935-44-65,very_low,max,1935,65,2000,32154.82,9667.23934801242,5472,9835.355976301282,0.17017666402735265,1.01739034508579
R-very_low-1940-44-65,very_low,max,1940,65,2005,36952.94,10297.447874555955,6888,11039.43967045448,0.18639924184652154,1.0720558923859103
R-very_low-1945-44-65,very_low,max,1945,65,2010,41673.83,10939.898804542418,7788,11357.236371064071,0.18687987161247238,1.0381482108726974
R-very_low-1950-44-65,very_low,max,1950,65,2015,48098.63,11570.508311254445,8508,11427.547647627072,0.17688653502189147,0.9876443921233505
R-very_low-1955-44-65,very_low,max,1955,65,2020,55628.6,12271.277236489217,9840,12205.598419633605,0.1768874284091277,0.9946477603276443
R-very_low-1960-44-65,very_low,max,1960,65,2025,72255.52,13075.299064912882,11604,11844.2028,0.16059672672759118,0.9058456514989789
R-very_low-1965-44-65,very_low,max,1965,65,2030,88030.45,13972.510588664107,14028,12934.323565083403,0.15935395082042636,0.9256978896532034
R-very_low-1970-44-65,very_low,max,1970,65,2035,106494.41,14981.292788937253,13622.9368554,11348.8972031041,0.1279216144340346,0.7575379083095252
R-very_low-1975-44-65,very_low,max,1975,65,2040,127479.7,16103.623714432959,16141.429661952,12149.541008671338,0.12661960815684378,0.7544600658907751
R-very_low-1980-44-65,very_low,max,1980,65,2045,152129.95,17298.903795936818,19159.756896564,13029.952197444109,0.1259433589281006,0.7532241551921108
R-very_low-1985-44-65,very_low,max,1985,65,2050,180927.92,18625.98122905315,22613.05146,13894.62895244844,0.12498375850449171,0.7459810455932029
R-very_low-1990-44-65,very_low,max,1990,65,2055,214968.38,20102.690479206893,26440.145894015997,14678.665865382629,0.12299551168416488,0.7301841452797289
R-very_low-1995-44-65,very_low,max,1995,65,2060,255531.48,21713.72399231629,30706.008858,15402.13987327281,0.12016526831840836,0.7093274225426774
R-very_low-2000-44-65,very_low,max,2000,65,2065,304175.68,23436.372443062377,35859.643667232,16251.693259566353,0.11789122544981899,0.6934389397953594
R-very_low-2005-44-65,very_low,max,2005,65,2070,362245.73,25273.547612499868,41922.139316495995,17166.07630375608,0.1157284568033307,0.6792111881936997
R-very_low-2010-44-65,very_low,max,2010,65,2075,431340.48,27217.177131751643,49124.3603136,18174.374157172246,0.11388766552492362,0.6677538257988542
R-low-1930-44-65,low,none,1930,65,1995,24705.66,16440.86850937577,6228,12161.277335564157,0.252087983077562,0.7396979866744217
R-low-1935-44-65,low,none,1935,65,2000,32154.82,17404.185923657984,7164,12876.551574236548,0.22279707987791567,0.7398537128204945
R-low-1940-44-65,low,none,1940,65,2005,36952.94,18538.830370060983,9012,14443.587443399503,0.2438777537051179,0.7790991748176825
