id,worker_type,spouse_type,birth_yr,claim_age,year_at_65,awi_at_65,ben_at_65,real_ben_at_65,real_career_avg_earn,rep_rate_awi,rep_rate_career
R-very_low-2000-44-65,very_low,none,2000,65,2065,304175.68,49632,22493.36461187036,23436.372443062377,0.16316886346732257,0.95976306343983
R-very_low-2005-44-65,very_low,none,2005,65,2070,362245.73,59088,24195.070508656445,25273.547612499868,0.16311579435318674,0.957327830648119
R-very_low-2010-44-65,very_low,none,2010,65,2075,431340.48,70356,26029.37239363931,27217.177131751643,0.16311012590332352,0.9563582684434002
R-very_low-1930-44-65,very_low,very_low,1930,65,1995,24705.66,4752,9279.124903436237,9132.061576136579,0.19234458824415135,1.0161040665433045
R-very_low-1935-44-65,very_low,very_low,1935,65,2000,32154.82,5472,9835.355976301282,9667.23934801242,0.17017666402735265,1.01739034508579
R-very_low-1940-44-65,very_low,very_low,1940,65,2005,36952.94,6888,11039.43967045448,10297.447874555955,0.18639924184652154,1.0720558923859103
R-very_low-1945-44-65,very_low,very_low,1945,65,2010,41673.83,7788,11357.236371064071,10939.898804542418,0.18687987161247238,1.0381482108726974
R-very_low-1950-44-65,very_low,very_low,1950,65,2015,48098.63,8508,11427.547647627072,11570.508311254445,0.17688653502189147,0.9876443921233505
R-very_low-1955-44-65,very_low,very_low,1955,65,2020,55628.6,9840,12205.598419633605,12271.277236489217,0.1768874284091277,0.9946477603276443
R-very_low-1960-44-65,very_low,very_low,1960,65,2025,72255.52,11604,11844.2028,13075.299064912882,0.16059672672759118,0.9058456514989789
R-very_low-1965-44-65,very_low,very_low,1965,65,2030,88030.45,14028,12934.323565083403,13972.510588664107,0.15935395082042636,0.9256978896532034
R-very_low-1970-44-65,very_low,very_low,1970,65,2035,106494.41,17100,14245.5436909813,14981.292788937253,0.1605718084169864,0.9508888112446973
R-very_low-1975-44-65,very_low,very_low,1975,65,2040,127479.7,20676,15562.680329823415,16103.623714432959,0.16219052915876017,0.9664085926123125
R-very_low-1980-44-65,very_low,very_low,1980,65,2045,152129.95,24756,16835.782329669022,17298.903795936818,0.16272929820853815,0.9732282766740067
R-very_low-1985-44-65,very_low,very_low,1985,65,2050,180927.92,29544,18153.36238442968,18625.98122905315,0.16329154726368378,0.9746258283624666
R-very_low-1990-44-65,very_low,very_low,1990,65,2055,214968.38,35136,19506.307034516394,20102.690479206893,0.16344729396946658,0.9703331529027239
R-very_low-1995-44-65,very_low,very_low,1995,65,2060,255531.48,41748,20940.804726624927,21713.72399231629,0.16337713067681522,0.9644041129948566
R-very_low-2000-44-65,very_low,very_low,2000,65,2065,304175.68,49632,22493.36461187036,23436.372443062377,0.16316886346732257,0.95976306343983
R-very_low-2005-44-65,very_low,very_low,2005,65,2070,362245.73,59088,24195.070508656445,25273.547612499868,0.16311579435318674,0.957327830648119
R-very_low-2010-44-65,very_low,very_low,2010,65,2075,431340.48,70356,26029.37239363931,27217.177131751643,0.16311012590332352,0.9563582684434002
R-very_low-1930-44-65,very_low,low,1930,65,1995,24705.66,4752,9279.124903436237,9132.061576136579,0.19234458824415135,1.0161040665433045
R-very_low-1935-44-65,very_low,low,1935,65,2000,32154.82,5472,9835.355976301282,9667.23934801242,0.17017666402735265,1.01739034508579
R-very_low-1940-44-65,very_low,low,1940,65,2005,36952.94,6888,11039.43967045448,10297.447874555955,0.18639924184652154,1.0720558923859103
R-very_low-1945-44-65,very_low,low,1945,65,2010,41673.83,7788,11357.236371064071,10939.898804542418,0.18687987161247238,1.0381482108726974
R-very_low-1950-44-65,very_low,low,1950,65,2015,48098.63,8508,11427.547647627072,11570.508311254445,0.17688653502189147,0.9876443921233505
R-very_low-1955-44-65,very_low,low,1955,65,2020,55628.6,9840,12205.598419633605,12271.277236489217,0.1768874284091277,0.9946477603276443
R-very_low-1960-44-65,very_low,low,1960,65,2025,72255.52,11604,11844.2028,13075.299064912882,0.16059672672759118,0.9058456514989789
R-very_low-1965-44-65,very_low,low,1965,65,2030,88030.45,14028,12934.323565083403,13972.510588664107,0.15935395082042636,0.9256978896532034
R-very_low-1970-44-65,very_low,low,1970,65,2035,106494.41,17100,14245.5436909813,14981.292788937253,0.1605718084169864,0.9508888112446973
R-very_low-1975-44-65,very_low,low,1975,65,2040,127479.7,20676,15562.680329823415,16103.623714432959,0.16219052915876017,0.9664085926123125
R-very_low-1980-44-65,very_low,low,1980,65,2045,152129.95,24756,16835.782329669022,17298.903795936818,0.16272929820853815,0.9732282766740067
R-very_low-1985-44-65,very_low,low,1985,65,2050,180927.92,29544,18153.36238442968,18625.98122905315,0.16329154726368378,0.9746258283624666
R-very_low-1990-44-65,very_low,low,1990,65,2055,214968.38,35136,19506.307034516394,20102.690479206893,0.16344729396946658,0.9703331529027239
R-very_low-1995-44-65,very_low,low,1995,65,2060,255531.48,41748,20940.804726624927,21713.72399231629,0.16337713067681522,0.9644041129948566
R-very_low-2000-44-65,very_low,low,2000,65,2065,304175.68,49632,22493.36461187036,23436.372443062377,0.16316886346732257,0.95976306343983
R-very_low-2005-44-65,very_low,low,2005,65,2070,362245.73,59088,24195.070508656445,25273.547612499868,0.16311579435318674,0.957327830648119
R-very_low-2010-44-65,very_low,low,2010,65,2075,431340.48,70356,26029.37239363931,27217.177131751643,0.16311012590332352,0.9563582684434002
R-very_low-1930-44-65,very_low,medium,1930,65,1995,24705.66,4752,9279.124903436237,9132.061576136579,0.19234458824415135,1.0161040665433045
R-very_low-1935-44-65,very_low,medium,1935,65,2000,32154.82,5472,9835.355976301282,9667.23934801242,0.17017666402735265,1.01739034508579
R-very_low-1940-44-65,very_low,medium,1940,65,2005,36952.94,6888,11039.43967045448,10297.447874555955,0.18639924184652154,1.0720558923859103
R-very_low-1945-44-65,very_low,medium,1945,65,2010,41673.83,7788,11357.236371064071,10939.898804542418,0.18687987161247238,1.0381482108726974
R-very_low-1950-44-65,very_low,medium,1950,65,2015,48098.63,8508,11427.547647627072,11570.508311254445,0.17688653502189147,0.9876443921233505
R-very_low-1955-44-65,very_low,medium,1955,65,2020,55628.6,9840,12205.598419633605,12271.277236489217,0.1768874284091277,0.9946477603276443
R-very_low-1960-44-65,very_low,medium,1960,65,2025,72255.52,11604,11844.2028,13075.299064912882,0.16059672672759118,0.9058456514989789
R-very_low-1965-44-65,very_low,medium,1965,65,2030,88030.45,14028,12934.323565083403,13972.510588664107,0.15935395082042636,0.9256978896532034
R-very_low-1970-44-65,very_low,medium,1970,65,2035,106494.41,17100,14245.5436909813,14981.292788937253,0.1605718084169864,0.9508888112446973
R-very_low-1975-44-65,very_low,medium,1975,65,2040,127479.7,20676,15562.680329823415,16103.623714432959,0.16219052915876017,0.9664085926123125
R-very_low-1980-44-65,very_low,medium,1980,65,2045,152129.95,24756,16835.782329669022,17298.903795936818,0.16272929820853815,0.9732282766740067
R-very_low-1985-44-65,very_low,medium,1985,65,2050,180927.92,29544,18153.36238442968,18625.98122905315,0.16329154726368378,0.9746258283624666
R-very_low-1990-44-65,very_low,medium,1990,65,2055,214968.38,35136,19506.307034516394,20102.690479206893,0.16344729396946658,0.9703331529027239
R-very_low-1995-44-65,very_low,medium,1995,65,2060,255531.48,41748,20940.804726624927,21713.72399231629,0.16337713067681522,0.9644041129948566
R-very_low-2000-44-65,very_low,medium,2000,65,2065,304175.68,49632,22493.36461187036,23436.372443062377,0.16316886346732257,0.95976306343983
R-very_low-2005-44-65,very_low,medium,2005,65,2070,362245.73,59088,24195.070508656445,25273.547612499868,0.16311579435318674,0.957327830648119
R-very_low-2010-44-65,very_low,medium,2010,65,2075,431340.48,70356,26029.37239363931,27217.177131751643,0.16311012590332352,0.9563582684434002
R-very_low-1930-44-65,very_low,high,1930,65,1995,24705.66,4752,9279.124903436237,9132.061576136579,0.19234458824415135,1.0161040665433045
R-very_low-1935-44-65,very_low,high,1935,65,2000,32154.82,5472,9835.355976301282,9667.23934801242,0.17017666402735265,1.01739034508579
R-very_low-1940-44-65,very_low,high,1940,65,2005,36952.94,6888,11039.43967045448,10297.447874555955,0.18639924184652154,1.0720558923859103
R-very_low-1945-44-65,very_low,high,1945,65,2010,41673.83,7788,11357.236371064071,10939.898804542418,0.18687987161247238,1.0381482108726974
R-very_low-1950-44-65,very_low,high,1950,65,2015,48098.63,8508,11427.547647627072,11570.508311254445,0.17688653502189147,0.9876443921233505
R-very_low-1955-44-65,very_low,high,1955,65,2020,55628.6,9840,12205.598419633605,12271.277236489217,0.1768874284091277,0.9946477603276443
R-very_low-1960-44-65,very_low,high,1960,65,2025,72255.52,11604,11844.2028,13075.299064912882,0.16059672672759118,0.9058456514989789
R-very_low-1965-44-65,very_low,high,1965,65,2030,88030.45,14028,12934.323565083403,13972.510588664107,0.15935395082042636,0.9256978896532034
R-very_low-1970-44-65,very_low,high,1970,65,2035,106494.41,17100,14245.5436909813,14981.292788937253,0.1605718084169864,0.9508888112446973
R-very_low-1975-44-65,very_low,high,1975,65,2040,127479.7,20676,15562.680329823415,16103.623714432959,0.16219052915876017,0.9664085926123125
R-very_low-1980-44-65,very_low,high,1980,65,2045,152129.95,24756,16835.782329669022,17298.903795936818,0.16272929820853815,0.9732282766740067
R-very_low-1985-44-65,very_low,high,1985,65,2050,180927.92,29544,18153.36238442968,18625.98122905315,0.16329154726368378,0.9746258283624666
R-very_low-1990-44-65,very_low,high,1990,65,2055,214968.38,35136,19506.307034516394,20102.690479206893,0.16344729396946658,0.9703331529027239
R-very_low-1995-44-65,very_low,high,1995,65,2060,255531.48,41748,20940.804726624927,21713.72399231629,0.16337713067681522,0.9644041129948566
R-very_low-2000-44-65,very_low,high,2000,65,2065,304175.68,49632,22493.36461187036,23436.372443062377,0.16316886346732257,0.95976306343983
R-very_low-2005-44-65,very_low,high,2005,65,2070,362245.73,59088,24195.070508656445,25273.547612499868,0.16311579435318674,0.957327830648119
R-very_low-2010-44-65,very_low,high,2010,65,2075,431340.48,70356,26029.37239363931,27217.177131751643,0.16311012590332352,0.9563582684434002
R-very_low-1930-44-65,very_low,max,1930,65,1995,24705.66,4752,9279.124903436237,9132.061576136579,0.19234458824415135,1.0161040665433045
R-very_low-1935-44-65,very_low,max,1935,65,2000,32154.82,5472,9835.355976301282,9667.23934801242,0.17017666402735265,1.01739034508579
R-very_low-1940-44-65,very_low,max,1940,65,2005,36952.94,6888,11039.43967045448,10297.447874555955,0.18639924184652154,1.0720558923859103
R-very_low-1945-44-65,very_low,max,1945,65,2010,41673.83,7788,11357.236371064071,10939.898804542418,0.18687987161247238,1.0381482108726974
R-very_low-1950-44-65,very_low,max,1950,65,2015,48098.63,8508,11427.547647627072,11570.508311254445,0.17688653502189147,0.9876443921233505
R-very_low-1955-44-65,very_low,max,1955,65,2020,55628.6,9840,12205.598419633605,12271.277236489217,0.1768874284091277,0.9946477603276443
R-very_low-1960-44-65,very_low,max,1960,65,2025,72255.52,11604,11844.2028,13075.299064912882,0.16059672672759118,0.9058456514989789
R-very_low-1965-44-65,very_low,max,1965,65,2030,88030.45,14028,12934.323565083403,13972.510588664107,0.15935395082042636,0.9256978896532034
R-very_low-1970-44-65,very_low,max,1970,65,2035,106494.41,17100,14245.5436909813,14981.292788937253,0.1605718084169864,0.9508888112446973
R-very_low-1975-44-65,very_low,max,1975,65,2040,127479.7,20676,15562.680329823415,16103.623714432959,0.16219052915876017,0.9664085926123125
R-very_low-1980-44-65,very_low,max,1980,65,2045,152129.95,24756,16835.782329669022,17298.903795936818,0.16272929820853815,0.9732282766740067
R-very_low-1985-44-65,very_low,max,1985,65,2050,180927.92,29544,18153.36238442968,18625.98122905315,0.16329154726368378,0.9746258283624666
R-very_low-1990-44-65,very_low,max,1990,65,2055,214968.38,35136,19506.307034516394,20102.690479206893,0.16344729396946658,0.9703331529027239
R-very_low-1995-44-65,very_low,max,1995,65,2060,255531.48,41748,20940.804726624927,21713.72399231629,0.16337713067681522,0.9644041129948566
R-very_low-2000-44-65,very_low,max,2000,65,2065,304175.68,49632,22493.36461187036,23436.372443062377,0.16316886346732257,0.95976306343983
R-very_low-2005-44-65,very_low,max,2005,65,2070,362245.73,59088,24195.070508656445,25273.547612499868,0.16311579435318674,0.957327830648119
R-very_low-2010-44-65,very_low,max,2010,65,2075,431340.48,70356,26029.37239363931,27217.177131751643,0.16311012590332352,0.9563582684434002
R-low-1930-44-65,low,none,1930,65,1995,24705.66,6228,12161.277335564157,16440.86850937577,0.252087983077562,0.7396979866744217
R-low-1935-44-65,low,none,1935,65,2000,32154.82,7164,12876.551574236548,17404.185923657984,0.22279707987791567,0.7398537128204945
R-low-1940-44-65,low,none,1940,65,2005,36952.94,9012,14443.587443399503,18538.830370060983,0.2438777537051179,0.7790991748176825
R-low-1945-44-65,low,none,1945,65,2010,41673.83,10188,14857.155129481349,19695.308808860376,0.24446997072263335,0.7543499456478451
R-low-1950-44-65,low,none,1950,65,2015,48098.63,11136,14957.354325808074,20830.567464460608,0.23152426586786362,0.7180483369609145
R-low-1955-44-65,low,none,1955,65,2020,55628.6,12888,15986.35695449572,22092.13022264915,0.23167938794073553,0.7236222488905254
R-low-1960-44-65,low,none,1960,65,2025,72255.52,15204,15518.7228,23539.70329221506,0.2104199097868232,0.6592573664737855
R-low-1965-44-65,low,none,1965,65,2030,88030.45,18384,16950.713175113582,25154.864377978556,0.2088368286200968,0.6738542860104954
R-low-1970-44-65,low,none,1970,65,2035,106494.41,22392,18654.164580611305,26970.821728901054,0.21026455754813797,0.6916424263270448
R-low-1975-44-65,low,none,1975,65,2040,127479.7,27084,20385.9370309991,28991.257106845605,0.21245735595549722,0.7031753385466489
R-low-1980-44-65,low,none,1980,65,2045,152129.95,32412,22042.388789353383,31143.025695651057,0.21305469435834296,0.7077792955882085
R-low-1985-44-65,low,none,1985,65,2050,180927.92,38676,23764.535729088893,33532.02944107897,0.21376468595891665,0.7087115252253642
R-low-1990-44-65,low,none,1990,65,2055,214968.38,45996,25535.4080817286,36190.49084211598,0.2139663517025155,0.7055833587095831
R-low-1995-44-65,low,none,1995,65,2060,255531.48,54660,27417.46637820539,39090.802860073425,0.21390710843141517,0.7013789529047778
R-low-2000-44-65,low,none,2000,65,2065,304175.68,64980,29449.122188897,42192.15820300589,0.2136265463432185,0.6979761984965006
R-low-2005-44-65,low,none,2005,65,2070,362245.73,77352,31673.725527782175,45499.631196843664,0.21353460812360717,0.6961314783135957
R-low-2010-44-65,low,none,2010,65,2075,431340.48,92124,34082.80604911632,48998.80982355487,0.2135760594507615,0.6955843656580394
R-low-1930-44-65,low,very_low,1930,65,1995,24705.66,6228,12161.277335564157,16440.86850937577,0.252087983077562,0.7396979866744217
R-low-1935-44-65,low,very_low,1935,65,2000,32154.82,7164,12876.551574236548,17404.185923657984,0.22279707987791567,0.7398537128204945
R-low-1940-44-65,low,very_low,1940,65,2005,36952.94,9012,14443.587443399503,18538.830370060983,0.2438777537051179,0.7790991748176825
R-low-1945-44-65,low,very_low,1945,65,2010,41673.83,10188,14857.155129481349,19695.308808860376,0.24446997072263335,0.7543499456478451
R-low-1950-44-65,low,very_low,1950,65,2015,48098.63,11136,14957.354325808074,20830.567464460608,0.23152426586786362,0.7180483369609145
R-low-1955-44-65,low,very_low,1955,65,2020,55628.6,12888,15986.35695449572,22092.13022264915,0.23167938794073553,0.7236222488905254
R-low-1960-44-65,low,very_low,1960,65,2025,72255.52,15204,15518.7228,23539.70329221506,0.2104199097868232,0.6592573664737855
R-low-1965-44-65,low,very_low,1965,65,2030,88030.45,18384,16950.713175113582,25154.864377978556,0.2088368286200968,0.6738542860104954
R-low-1970-44-65,low,very_low,1970,65,2035,106494.41,22392,18654.164580611305,26970.821728901054,0.21026455754813797,0.6916424263270448
R-low-1975-44-65,low,very_low,1975,65,2040,127479.7,27084,20385.9370309991,28991.257106845605,0.21245735595549722,0.7031753385466489
R-low-1980-44-65,low,very_low,1980,65,2045,152129.95,32412,22042.388789353383,31143.025695651057,0.21305469435834296,0.7077792955882085
R-low-1985-44-65,low,very_low,1985,65,2050,180927.92,38676,23764.535729088893,33532.02944107897,0.21376468595891665,0.7087115252253642
R-low-1990-44-65,low,very_low,1990,65,2055,214968.38,45996,25535.4080817286,36190.49084211598,0.2139663517025155,0.7055833587095831
R-low-1995-44-65,low,very_low,1995,65,2060,255531.48,54660,27417.46637820539,39090.802860073425,0.21390710843141517,0.7013789529047778
R-low-2000-44-65,low,very_low,2000,65,2065,304175.68,64980,29449.122188897,42192.15820300589,0.2136265463432185,0.6979761984965006
R-low-2005-44-65,low,very_low,2005,65,2070,362245.73,77352,31673.725527782175,45499.631196843664,0.21353460812360717,0.6961314783135957
R-low-2010-44-65,low,very_low,2010,65,2075,431340.48,92124,34082.80604911632,48998.80982355487,0.2135760594507615,0.6955843656580394
R-low-1930-44-65,low,low,1930,65,1995,24705.66,6228,12161.277335564157,16440.86850937577,0.252087983077562,0.7396979866744217
R-low-1935-44-65,low,low,1935,65,2000,32154.82,7164,12876.551574236548,17404.185923657984,0.22279707987791567,0.7398537128204945
R-low-1940-44-65,low,low,1940,65,2005,36952.94,9012,14443.587443399503,18538.830370060983,0.2438777537051179,0.7790991748176825
R-low-1945-44-65,low,low,1945,65,2010,41673.83,10188,14857.155129481349,19695.308808860376,0.24446997072263335,0.7543499456478451
R-low-1950-44-65,low,low,1950,65,2015,48098.63,11136,14957.354325808074,20830.567464460608,0.23152426586786362,0.7180483369609145
R-low-1955-44-65,low,low,1955,65,2020,55628.6,12888,15986.35695449572,22092.13022264915,0.23167938794073553,0.7236222488905254
R-low-1960-44-65,low,low,1960,65,2025,72255.52,15204,15518.7228,23539.70329221506,0.2104199097868232,0.6592573664737855
R-low-1965-44-65,low,low,1965,65,2030,88030.45,18384,16950.713175113582,25154.864377978556,0.2088368286200968,0.6738542860104954
R-low-1970-44-65,low,low,1970,65,2035,106494.41,22392,18654.164580611305,26970.821728901054,0.21026455754813797,0.6916424263270448
R-low-1975-44-65,low,low,1975,65,2040,127479.7,27084,20385.9370309991,28991.257106845605,0.21245735595549722,0.7031753385466489
R-low-1980-44-65,low,low,1980,65,2045,152129.95,32412,22042.388789353383,31143.025695651057,0.21305469435834296,0.7077792955882085
R-low-1985-44-65,low,low,1985,65,2050,180927.92,38676,23764.535729088893,33532.02944107897,0.21376468595891665,0.7087115252253642
R-low-1990-44-65,low,low,1990,65,2055,214968.38,45996,25535.4080817286,36190.49084211598,0.2139663517025155,0.7055833587095831
R-low-1995-44-65,low,low,1995,65,2060,255531.48,54660,27417.46637820539,39090.802860073425,0.21390710843141517,0.7013789529047778
R-low-2000-44-65,low,low,2000,65,2065,304175.68,64980,29449.122188897,42192.15820300589,0.2136265463432185,0.6979761984965006
R-low-2005-44-65,low,low,2005,65,2070,362245.73,77352,31673.725527782175,45499.631196843664,0.21353460812360717,0.6961314783135957
R-low-2010-44-65,low,low,2010,65,2075,431340.48,92124,34082.80604911632,48998.80982355487,0.2135760594507615,0.6955843656580394
R-low-1930-44-65,low,medium,1930,65,1995,24705.66,6228,12161.277335564157,16440.86850937577,0.252087983077562,0.7396979866744217
R-low-1935-44-65,low,medium,1935,65,2000,32154.82,7164,12876.551574236548,17404.185923657984,0.22279707987791567,0.7398537128204945
R-low-1940-44-65,low,medium,1940,65,2005,36952.94,9012,14443.587443399503,18538.830370060983,0.2438777537051179,0.7790991748176825
R-low-1945-44-65,low,medium,1945,65,2010,41673.83,10188,14857.155129481349,19695.308808860376,0.24446997072263335,0.7543499456478451
R-low-1950-44-65,low,medium,1950,65,2015,48098.63,11136,14957.354325808074,20830.567464460608,0.23152426586786362,0.7180483369609145
